"time","strata",".pred_survival"
133,"clusterCC=1, clusterFC=1, clusterTC=1",0.0762148970704307
134,"clusterCC=1, clusterFC=1, clusterTC=1",0.0754081669593147
135,"clusterCC=1, clusterFC=1, clusterTC=1",0.0746136202814198
136,"clusterCC=1, clusterFC=1, clusterTC=1",0.0738310131300185
137,"clusterCC=1, clusterFC=1, clusterTC=1",0.0730601077415068
138,"clusterCC=1, clusterFC=1, clusterTC=1",0.0723006723080425
139,"clusterCC=1, clusterFC=1, clusterTC=1",0.0715524807969068
140,"clusterCC=1, clusterFC=1, clusterTC=1",0.0708153127763125
141,"clusterCC=1, clusterFC=1, clusterTC=1",0.0700889532473937
142,"clusterCC=1, clusterFC=1, clusterTC=1",0.069373192482124
143,"clusterCC=1, clusterFC=1, clusterTC=1",0.0686678258669241
144,"clusterCC=1, clusterFC=1, clusterTC=1",0.0679726537517267
145,"clusterCC=1, clusterFC=1, clusterTC=1",0.0672874813042816
146,"clusterCC=1, clusterFC=1, clusterTC=1",0.066612118369491
147,"clusterCC=1, clusterFC=1, clusterTC=1",0.0659463793335741
149,"clusterCC=1, clusterFC=1, clusterTC=1",0.0646430524271109
150,"clusterCC=1, clusterFC=1, clusterTC=1",0.0640051148769438
151,"clusterCC=1, clusterFC=1, clusterTC=1",0.0633761016256135
152,"clusterCC=1, clusterFC=1, clusterTC=1",0.0627558478845711
153,"clusterCC=1, clusterFC=1, clusterTC=1",0.0621441926828983
154,"clusterCC=1, clusterFC=1, clusterTC=1",0.0615409787603898
155,"clusterCC=1, clusterFC=1, clusterTC=1",0.0609460524641561
157,"clusterCC=1, clusterFC=1, clusterTC=1",0.059780465578729
158,"clusterCC=1, clusterFC=1, clusterTC=1",0.0592095148364113
159,"clusterCC=1, clusterFC=1, clusterTC=1",0.0586462712299106
160,"clusterCC=1, clusterFC=1, clusterTC=1",0.0580905977061342
161,"clusterCC=1, clusterFC=1, clusterTC=1",0.0575423602657594
162,"clusterCC=1, clusterFC=1, clusterTC=1",0.057001427881045
163,"clusterCC=1, clusterFC=1, clusterTC=1",0.0564676724162412
164,"clusterCC=1, clusterFC=1, clusterTC=1",0.0559409685505049
165,"clusterCC=1, clusterFC=1, clusterTC=1",0.0554211937032279
166,"clusterCC=1, clusterFC=1, clusterTC=1",0.0549082279616927
167,"clusterCC=1, clusterFC=1, clusterTC=1",0.0544019540109717
168,"clusterCC=1, clusterFC=1, clusterTC=1",0.0539022570659904
1,"clusterCC=1, clusterFC=1, clusterTC=2",0.994481401430042
2,"clusterCC=1, clusterFC=1, clusterTC=2",0.953088444133457
3,"clusterCC=1, clusterFC=1, clusterTC=2",0.892237597665863
4,"clusterCC=1, clusterFC=1, clusterTC=2",0.840235015249007
5,"clusterCC=1, clusterFC=1, clusterTC=2",0.800529718017013
6,"clusterCC=1, clusterFC=1, clusterTC=2",0.769314601441154
7,"clusterCC=1, clusterFC=1, clusterTC=2",0.743193719613311
8,"clusterCC=1, clusterFC=1, clusterTC=2",0.720136422578829
