"time","strata",".pred_hazard"
164,"CC=1, clusterFC=1, TC=2",0.011574299649984
165,"CC=1, clusterFC=1, TC=2",0.0114036661190289
166,"CC=1, clusterFC=1, TC=2",0.0112336438890864
167,"CC=1, clusterFC=1, TC=2",0.0110643741121728
168,"CC=1, clusterFC=1, TC=2",0.0108959917781113
1,"CC=1, clusterFC=2, TC=2",1.10044428226907e-06
2,"CC=1, clusterFC=2, TC=2",8.86714461839095e-06
3,"CC=1, clusterFC=2, TC=2",2.5169874248129e-05
4,"CC=1, clusterFC=2, TC=2",4.86367570203201e-05
5,"CC=1, clusterFC=2, TC=2",7.73274901632083e-05
6,"CC=1, clusterFC=2, TC=2",0.000109501447353524
7,"CC=1, clusterFC=2, TC=2",0.000143769426241985
8,"CC=1, clusterFC=2, TC=2",0.000179073939552608
9,"CC=1, clusterFC=2, TC=2",0.000214630071317723
10,"CC=1, clusterFC=2, TC=2",0.000249866115593976
11,"CC=1, clusterFC=2, TC=2",0.000284375041394213
12,"CC=1, clusterFC=2, TC=2",0.000317879871504128
13,"CC=1, clusterFC=2, TC=2",0.000350214635400378
14,"CC=1, clusterFC=2, TC=2",0.000381322699065341
15,"CC=1, clusterFC=2, TC=2",0.00041127384407909
16,"CC=1, clusterFC=2, TC=2",0.000440299663552703
17,"CC=1, clusterFC=2, TC=2",0.000468843825075015
18,"CC=1, clusterFC=2, TC=2",0.000497620339873914
19,"CC=1, clusterFC=2, TC=2",0.000527670227422988
20,"CC=1, clusterFC=2, TC=2",0.000560405744641864
21,"CC=1, clusterFC=2, TC=2",0.000597632067551191
22,"CC=1, clusterFC=2, TC=2",0.00064153885269004
23,"CC=1, clusterFC=2, TC=2",0.00069465792803504
24,"CC=1, clusterFC=2, TC=2",0.000759787710804253
25,"CC=1, clusterFC=2, TC=2",0.000839889053425806
26,"CC=1, clusterFC=2, TC=2",0.000937960460122567
27,"CC=1, clusterFC=2, TC=2",0.00105690261540335
28,"CC=1, clusterFC=2, TC=2",0.00119938280152642
29,"CC=1, clusterFC=2, TC=2",0.001367709159267
30,"CC=1, clusterFC=2, TC=2",0.0015637231301925
31,"CC=1, clusterFC=2, TC=2",0.00178871615949535
32,"CC=1, clusterFC=2, TC=2",0.0020433742018331
33,"CC=1, clusterFC=2, TC=2",0.00232775108460802
34,"CC=1, clusterFC=2, TC=2",0.00264126959518112
35,"CC=1, clusterFC=2, TC=2",0.00298274743240323
36,"CC=1, clusterFC=2, TC=2",0.00335044397193923
37,"CC=1, clusterFC=2, TC=2",0.00374212313732065
38,"CC=1, clusterFC=2, TC=2",0.0041551274870582
39,"CC=1, clusterFC=2, TC=2",0.00458645883086072
40,"CC=1, clusterFC=2, TC=2",0.00503286116887636
41,"CC=1, clusterFC=2, TC=2",0.00549090240186692
42,"CC=1, clusterFC=2, TC=2",0.00595705199431251
43,"CC=1, clusterFC=2, TC=2",0.00642775251170198
44,"CC=1, clusterFC=2, TC=2",0.00689948364303477
45,"CC=1, clusterFC=2, TC=2",0.00736881792465627
46,"CC=1, clusterFC=2, TC=2",0.00783246788363025
47,"CC=1, clusterFC=2, TC=2",0.00828732471289377
48,"CC=1, clusterFC=2, TC=2",0.00873048888102108
49,"CC=1, clusterFC=2, TC=2",0.00915929327732094
50,"CC=1, clusterFC=2, TC=2",0.00957131961232443
51,"CC=1, clusterFC=2, TC=2",0.00996440884976722
52,"CC=1, clusterFC=2, TC=2",0.0103366664538181
53,"CC=1, clusterFC=2, TC=2",0.0106864632080704
54,"CC=1, clusterFC=2, TC=2",0.0110124323123064
55,"CC=1, clusterFC=2, TC=2",0.0113134633987764
56,"CC=1, clusterFC=2, TC=2",0.0115886940391383
57,"CC=1, clusterFC=2, TC=2",0.011837499241829
58,"CC=1, clusterFC=2, TC=2",0.0120594793713713
59,"CC=1, clusterFC=2, TC=2",0.0122544468585031
60,"CC=1, clusterFC=2, TC=2",0.0124224120144876
61,"CC=1, clusterFC=2, TC=2",0.0125635682151389
62,"CC=1, clusterFC=2, TC=2",0.0126782766799961
63,"CC=1, clusterFC=2, TC=2",0.0127670510392916
64,"CC=1, clusterFC=2, TC=2",0.0128305418552297
65,"CC=1, clusterFC=2, TC=2",0.0128695212438231
66,"CC=1, clusterFC=2, TC=2",0.0128848677282861
67,"CC=1, clusterFC=2, TC=2",0.0128775514439326
68,"CC=1, clusterFC=2, TC=2",0.0128486198068952
69,"CC=1, clusterFC=2, TC=2",0.0127991837540905
70,"CC=1, clusterFC=2, TC=2",0.0127304046590535
71,"CC=1, clusterFC=2, TC=2",0.012643482026982
72,"CC=1, clusterFC=2, TC=2",0.0125396420720054
73,"CC=1, clusterFC=2, TC=2",0.0124201272797324
74,"CC=1, clusterFC=2, TC=2",0.0122861870579068
75,"CC=1, clusterFC=2, TC=2",0.0121390695767905
76,"CC=1, clusterFC=2, TC=2",0.0119800148978703
77,"CC=1, clusterFC=2, TC=2",0.0118102494837389
78,"CC=1, clusterFC=2, TC=2",0.0116309821725418
79,"CC=1, clusterFC=2, TC=2",0.0114434016862106
80,"CC=1, clusterFC=2, TC=2",0.011248675721883
81,"CC=1, clusterFC=2, TC=2",0.0110479516496895
82,"CC=1, clusterFC=2, TC=2",0.0108423588069651
83,"CC=1, clusterFC=2, TC=2",0.0106330123388747
84,"CC=1, clusterFC=2, TC=2",0.0104210184888541
85,"CC=1, clusterFC=2, TC=2",0.0102074811902146
86,"CC=1, clusterFC=2, TC=2",0.00999350975445073
87,"CC=1, clusterFC=2, TC=2",0.00978022739456178
88,"CC=1, clusterFC=2, TC=2",0.00956878026599348
